
===== Fold 0 (rank0 prints only) =====
[Fold 0 | Ep 01] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 02] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 03] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 04] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 05] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 06] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 07] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 08] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 09] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 10] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 11] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 12] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 13] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 14] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 15] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 16] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 17] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 18] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 19] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 20] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 21] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 22] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 23] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 24] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 25] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 26] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 27] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 28] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 29] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 30] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 31] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 32] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 33] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 34] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 35] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 36] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 37] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 38] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 39] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 40] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 41] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 42] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 43] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 44] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 45] loss 0.0000  valC 0.5167  testC 0.5167
[Fold 0 | Ep 46] loss 0.0000  valC 0.5167  testC 0.5167
